country_code,country_name,year,wb_region,wb_income_group,overall_mobility_score,legal_frameworks_score,law_can_choose_where_to_live,law_can_travel_internationally,law_can_leave_marital_home,law_equal_citizenship_rights,supportive_frameworks_score,sfr_equal_id_document_process,sfr_equal_passport_process,sfr_gender_sensitive_transport_policy,sfr_free_from_govt_mobility_constraints,enforcement_perceptions_score,enf_right_to_choose_where_to_live,enf_right_to_travel_internationally,enf_right_to_leave_marital_home,enf_equal_citizenship_rights,has_enforcement_data
SAU,Saudi Arabia,2026,Middle East & North Africa,High income,57.29333333333333,37.5,0.0,0.5,1.0,0.0,75.0,1.0,1.0,1.0,0.0,59.38,2.0,2.0,4.0,1.5,1
PAK,Pakistan,2026,South Asia,Lower middle income,57.29333333333333,87.5,1.0,1.0,1.0,0.5,25.0,1.0,0.0,0.0,0.0,59.38,2.0,3.0,2.0,2.5,1
VCT,St. Vincent and the Grenadines,2026,Unknown,Unknown,56.25,87.5,1.0,1.0,1.0,0.5,25.0,0.0,0.0,0.0,1.0,,,,,,0
MEA,Middle East and North Africa,2026,Unknown,Unknown,53.89000000000001,43.12,0.35,0.68,0.5,0.2,51.88,0.95,0.7,0.17,0.25,66.67,2.82,2.92,2.83,2.09,1
SYR,Syrian Arab Republic,2026,Middle East & North Africa,Low income,53.64666666666667,37.5,0.0,0.5,1.0,0.0,75.0,1.0,1.0,0.0,1.0,48.44,1.0,2.75,4.0,0.0,1
SOM,Somalia,2026,Sub-Saharan Africa,Low income,52.083333333333336,50.0,0.0,1.0,1.0,0.0,50.0,1.0,1.0,0.0,0.0,56.25,2.0,3.0,2.0,2.0,1
BRN,Brunei Darussalam,2026,East Asia & Pacific,High income,52.083333333333336,25.0,0.0,1.0,0.0,0.0,75.0,1.0,1.0,0.0,1.0,56.25,1.0,4.0,4.0,0.0,1
LBY,Libya,2026,Middle East & North Africa,Upper middle income,52.083333333333336,62.5,1.0,0.5,1.0,0.0,25.0,1.0,0.0,0.0,0.0,68.75,4.0,1.5,3.0,2.5,1
MYS,Malaysia,2026,East Asia & Pacific,Upper middle income,51.04333333333333,25.0,0.0,1.0,0.0,0.0,75.0,1.0,1.0,0.0,1.0,53.13,2.0,4.0,2.0,0.5,1
EGY,"Egypt, Arab Rep.",2026,Middle East & North Africa,Lower middle income,50.0,25.0,0.0,1.0,0.0,0.0,62.5,1.0,0.0,0.5,1.0,62.5,,4.0,1.0,,1
CMR,Cameroon,2026,Sub-Saharan Africa,Lower middle income,47.39666666666667,50.0,0.0,0.5,1.0,0.5,25.0,0.0,0.0,0.0,1.0,67.19,2.0,3.5,3.0,2.25,1
ARE,United Arab Emirates,2026,Middle East & North Africa,High income,43.75,37.5,0.0,0.5,1.0,0.0,50.0,1.0,1.0,0.0,0.0,,,,,,0
JOR,Jordan,2026,Middle East & North Africa,Upper middle income,40.626666666666665,12.5,0.0,0.5,0.0,0.0,75.0,1.0,1.0,1.0,0.0,34.38,1.5,3.0,1.0,0.0,1
KWT,Kuwait,2026,Middle East & North Africa,High income,37.5,25.0,0.0,1.0,0.0,0.0,50.0,1.0,1.0,0.0,0.0,,,,,,0
OMN,Oman,2026,Middle East & North Africa,High income,31.25,12.5,0.0,0.5,0.0,0.0,50.0,1.0,1.0,0.0,0.0,,,,,,0
YEM,"Yemen, Rep.",2026,Middle East & North Africa,Low income,31.25,12.5,0.0,0.5,0.0,0.0,25.0,1.0,0.0,0.0,0.0,56.25,2.5,1.5,3.0,2.0,1
QAT,Qatar,2026,Middle East & North Africa,High income,31.25,12.5,0.0,0.5,0.0,0.0,50.0,1.0,1.0,0.0,0.0,,,,,,0
PSE,West Bank and Gaza,2026,Middle East & North Africa,Lower middle income,31.25,12.5,0.0,0.5,0.0,0.0,50.0,1.0,1.0,0.0,0.0,,,,,,0
IRQ,Iraq,2026,Middle East & North Africa,Upper middle income,29.166666666666668,12.5,0.0,0.5,0.0,0.0,50.0,1.0,1.0,0.0,0.0,25.0,1.0,2.0,0.0,1.0,1
BHR,Bahrain,2026,Middle East & North Africa,High income,25.0,25.0,0.0,1.0,0.0,0.0,25.0,1.0,0.0,0.0,0.0,,,,,,0
AFG,Afghanistan,2026,South Asia,Low income,23.61,25.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,45.83,1.0,,1.0,3.5,1
